question,answer,retrieved_sources
How did Manchester United beat Everton in the FA Cup?,"Man Utd stroll to Cup win Wayne Rooney made a winning return to Everton as Manchester United cruised into the FA Cup quarter-finals. ""At times, especially in the first half, we didn't play with enough speed.",doc_6 (score=0.582); doc_0 (score=0.570); doc_0 (score=0.533)
When will Ruud van Nistelrooy return from his Achilles injury?,"Van Nistelrooy set to return Manchester United striker Ruud van Nistelrooy may make his comeback after an Achilles tendon injury in the FA Cup fifth round tie at Everton on Saturday. And he added: ""It felt different then last summer when I had the same injury on my other foot.",doc_1 (score=0.767); doc_1 (score=0.620); doc_19 (score=0.570)
Why did David Moyes change his mind about James Beattie's red card for headbutting?,"Moyes U-turn on Beattie dismissal Everton manager David Moyes will discipline striker James Beattie after all for his headbutt on Chelsea defender William Gallas. ""James did issue a",doc_2 (score=0.655); doc_2 (score=0.643); doc_2 (score=0.591)
What did Cristiano Ronaldo say about his new contract at Manchester United?,"Ronaldo considering new contract Manchester United winger Cristiano Ronaldo said he is close to agreeing to a new contract at Old Trafford. ""The United board have already made an offer to renew the contract but I'm trying not to think about it,"" he told the News of the World.",doc_3 (score=0.761); doc_3 (score=0.613); doc_17 (score=0.522)
Why does Walter Smith want to bring back the Home International series?,"Smith keen on Home series return Scotland manager Walter Smith has given his backing to the reinstatement of the Home International series. But Smith said: ""Bringing it back would add meaning to friendly games and that's something that's needed."" The Home International series was done away with in 1984, with the traditional",doc_4 (score=0.665); doc_4 (score=0.408); doc_24 (score=0.372)
Why did Mido apologize to the Egyptian national team?,"Mido makes third apology Ahmed 'Mido' Hossam has made another apology to the Egyptian people in an attempt to rejoin the national team. Mido said: ""There isn't much I have to say today, all there is to say is that I came specially from England to Egypt to rejoin the national team and to apologise for all my mistakes."" Mido was axed by former coach Marco Tardelli after failing to",doc_5 (score=0.812); doc_5 (score=0.780); doc_5 (score=0.668)
How did the Manchester derby between Manchester City and Manchester United end?,"Man City 0-2 Man Utd Manchester United reduced Chelsea's Premiership lead to nine points after a scrappy victory over Manchester City. - Manchester City boss Kevin Keegan: ""We had a great chance to take the lead and the first goal was always going to be crucial.",doc_6 (score=0.636); doc_6 (score=0.570); doc_6 (score=0.531)
Why doesn't Steven Gerrard believe Liverpool can win the Champions League?,"Gerrard plays down European hopes Steven Gerrard has admitted that Liverpool have little chance of winning the Champions League this season. ""Let's be realistic, there are some fantastic teams left in the Champions League,"" he told BBC Radio Five Live.",doc_7 (score=0.699); doc_7 (score=0.675); doc_17 (score=0.643)
How did Chelsea win the Carling Cup final against Liverpool in extra time?,"Chelsea clinch cup in extra-time (after extra-time - score at 90 mins 1-1) John Arne Riise volleyed Liverpool ahead after 45 seconds but Steven Gerrard scored a 79th-minute own goal. ""We are confident we can upset Chelsea in the Carling Cup final and get to the last eight of the Champions League because, financially, it is big for the club",doc_9 (score=0.696); doc_7 (score=0.619); doc_9 (score=0.583)
How did Newcastle United beat Bolton Wanderers 2-1?,"Newcastle 2-1 Bolton Kieron Dyer smashed home the winner to end Bolton's 10-game unbeaten run. ""Bolton are a difficult side to play.",doc_10 (score=0.695); doc_10 (score=0.678); doc_10 (score=0.613)
How did Middlesbrough draw 2-2 with Charlton Athletic?,Middlesbrough 2-2 Charlton A late header by teenager Danny Graham earned Middlesbrough a battling draw with Charlton at the Riverside. But Middlesbrough peppered the Charlton goal after the break and Chris Riggott stroked home the equaliser.,doc_11 (score=0.784); doc_11 (score=0.574); doc_11 (score=0.569)
How did Dundee United beat Aberdeen 4-1 in the Scottish Cup?,Dundee Utd 4-1 Aberdeen Dundee United eased into the semi-final of the Scottish Cup with an emphatic win over Aberdeen. Tony Bullock in the United goal was called into action for the first time with just over,doc_12 (score=0.742); doc_12 (score=0.545); doc_12 (score=0.533)
How did Celtic beat Clyde 5-0 in the Scottish Cup?,"Clyde 0-5 Celtic Celtic brushed aside Clyde to secure their place in the Scottish Cup semi-final, but only after a nervy and testing first half. Clyde had the ball in the net after half-an-hour through a tremendous strike from Bryson, but the referee had already blown for a foul by Petrov.",doc_13 (score=0.735); doc_13 (score=0.536); doc_13 (score=0.531)
How did Chelsea's Arjen Robben get injured and how long will he be out?,Robben sidelined with broken foot Chelsea winger Arjen Robben has broken two metatarsal bones in his foot and will be out for at least six weeks. Kenyon denies Robben Barca return Chelsea chief executive Peter Kenyon has played down reports that Arjen Robben will return for the Champions League match against Barcelona.,doc_19 (score=0.758); doc_19 (score=0.753); doc_15 (score=0.650)
What did Rio Ferdinand say about Malcolm Glazer's bid to buy Manchester United?,"Ferdinand casts doubt over Glazer Rio Ferdinand has said he is unsure of Malcolm Glazer's motives after the American billionaire launched a new offer to buy Manchester United. ""The board can confirm that it has now received a detailed proposal subject to various pre-conditions which may form the basis of an offer for Manchester United from Glazer.",doc_29 (score=0.786); doc_29 (score=0.616); doc_29 (score=0.609)
